run_id,best_target,type,best_d_total,structure_tier,s2_state,enough_levels,reason
984.0,proton,baryon,20.391963920981105,level1,none,0.0,tier_too_low
985.0,proton,baryon,7.21432931873414,none,none,0.0,tier_too_low
986.0,proton,baryon,24.283187422131938,none,latent,1.0,tier_too_low
987.0,rho,meson,19.964549768012557,none,latent,1.0,tier_too_low
988.0,proton,baryon,2.8461594559481744,level1,none,0.0,tier_too_low
989.0,proton,baryon,16.418242119897233,none,latent,1.0,tier_too_low
990.0,proton,baryon,4.300288204293469,level1,none,0.0,tier_too_low
991.0,proton,baryon,21.654284086238015,none,latent,1.0,tier_too_low
992.0,proton,baryon,4.300288204293469,level1,none,0.0,tier_too_low
993.0,rho,meson,9.403703506827622,level1,latent,1.0,distance_high
994.0,rho,meson,8.840885825080756,none,latent,1.0,tier_too_low
995.0,proton,baryon,2.4395652601534046,level1,none,0.0,tier_too_low
996.0,proton,baryon,17.300982813544422,none,latent,1.0,tier_too_low
997.0,proton,baryon,5.278332096947283,none,latent,0.0,tier_too_low
998.0,pion,meson,14.479451937019894,none,structural,1.0,tier_too_low
999.0,rho,meson,8.819657942781339,none,latent,1.0,tier_too_low
1000.0,pion,meson,27.770003614858584,none,structural,1.0,tier_too_low
1001.0,rho,meson,10.119752889549769,level1,none,1.0,distance_high
1002.0,rho,meson,7.976094117143953,none,structural,1.0,tier_too_low
1003.0,rho,meson,11.632098549517762,level1,none,1.0,distance_high
1004.0,proton,baryon,2.4395652601533944,level1,none,0.0,tier_too_low
1005.0,rho,meson,11.230863969217497,none,latent,1.0,tier_too_low
1006.0,pion,meson,14.028829290600275,none,structural,1.0,tier_too_low
1007.0,proton,baryon,21.654284086238018,none,latent,1.0,tier_too_low
1008.0,proton,baryon,19.025380750344095,none,latent,1.0,tier_too_low
1009.0,rho,meson,9.337859891139981,none,latent,1.0,tier_too_low
1010.0,rho,meson,5.9616633442029885,none,latent,0.0,tier_too_low
1011.0,pion,meson,12.496712292773562,none,structural,1.0,tier_too_low
1012.0,proton,baryon,20.493222578558477,none,latent,1.0,tier_too_low
1013.0,proton,baryon,7.261772585820612,none,latent,0.0,tier_too_low
1014.0,proton,baryon,22.182713452259595,none,structural,1.0,tier_too_low
1015.0,proton,baryon,11.140534090017022,level1,none,1.0,tier_too_low
1016.0,rho,meson,21.353246921389037,none,structural,1.0,tier_too_low
1017.0,proton,baryon,2.4395652601534046,level1,latent,0.0,tier_too_low
1018.0,proton,baryon,2.439565260153403,level1,none,0.0,tier_too_low
1019.0,proton,baryon,2.846159455948189,level1,latent,0.0,tier_too_low
1020.0,proton,baryon,20.612369333092733,level1,none,0.0,tier_too_low
1021.0,proton,baryon,2.4395652601533984,level1,none,0.0,tier_too_low
1022.0,proton,baryon,21.924987075019555,none,latent,1.0,tier_too_low
1023.0,rho,meson,9.882098564741813,none,latent,1.0,tier_too_low
1024.0,proton,baryon,2.8753603266132277,level1,latent,0.0,tier_too_low
1026.0,rho,meson,5.568312657482503,none,latent,1.0,tier_too_low
1027.0,proton,baryon,2.4395652601534046,level1,none,0.0,tier_too_low
1028.0,proton,baryon,21.924987075019565,none,latent,1.0,tier_too_low
1029.0,proton,baryon,2.8753603266132317,level1,latent,0.0,tier_too_low
1030.0,proton,baryon,25.43132099377135,none,latent,1.0,tier_too_low
1031.0,proton,baryon,24.417281287769434,none,latent,1.0,tier_too_low
1032.0,proton,baryon,22.78291774952895,none,latent,1.0,tier_too_low
1033.0,proton,baryon,6.9279428922566675,none,latent,0.0,tier_too_low
1034.0,proton,baryon,2.4395652601534135,level1,none,0.0,tier_too_low
1035.0,proton,baryon,16.91381133740576,none,latent,1.0,tier_too_low
1036.0,pion,meson,14.671329967108253,none,structural,1.0,tier_too_low
1037.0,proton,baryon,22.46702714161369,none,latent,1.0,tier_too_low
1038.0,rho,meson,22.978659031221998,none,latent,1.0,tier_too_low
1039.0,proton,baryon,2.846159455948179,level1,none,0.0,tier_too_low
1040.0,proton,baryon,19.162312877217516,none,latent,1.0,tier_too_low
1041.0,proton,baryon,17.817211448395984,none,latent,1.0,tier_too_low
1042.0,proton,baryon,16.91381133740576,none,none,1.0,tier_too_low
1043.0,proton,baryon,20.232459306103856,none,latent,1.0,tier_too_low
1044.0,proton,baryon,2.4395652601534024,level1,none,0.0,tier_too_low
1045.0,rho,meson,18.63637181210895,none,latent,1.0,tier_too_low
1046.0,rho,meson,10.631216734351304,level1,none,1.0,distance_high
1047.0,pion,meson,15.560946288426983,none,structural,1.0,tier_too_low
1048.0,proton,baryon,19.0253807503441,none,latent,1.0,tier_too_low
1049.0,rho,meson,11.655447963654861,none,structural,1.0,tier_too_low
1050.0,proton,baryon,20.384571215035724,none,latent,1.0,tier_too_low
1051.0,proton,baryon,21.92498707501956,none,none,1.0,tier_too_low
1052.0,rho,meson,9.403703506827624,level1,latent,1.0,distance_high
1053.0,proton,baryon,20.384571215035724,none,latent,1.0,tier_too_low
1054.0,rho,meson,22.086830719608205,none,latent,1.0,tier_too_low
1055.0,proton,baryon,2.875360326613234,level1,none,0.0,tier_too_low
1056.0,pion,meson,27.770003614858584,level1,structural,1.0,distance_high
