run_id,best_target,best_family,best_d_total,second_best_target,second_best_family,second_best_d_total,delta_margin
87.0,eta_prime,eta_prime_like,0.4199999958000004,Kstar_892,kstar_like,3.8832217646288623,3.463221768828862
88.0,delta_1232,delta_like,4.031304307462633,eta_prime,eta_prime_like,6.686666599800001,2.6553622923373688
89.0,deuteron,nucleus,8.35836651110217,delta_1232,delta_like,9.192262549173016,0.8338960380708453
90.0,delta_1232,delta_like,3.9924906876668276,eta_prime,eta_prime_like,5.3037208771953495,1.3112301895285219
91.0,delta_1232,delta_like,4.570024104258731,eta_prime,eta_prime_like,6.086666605799999,1.5166425015412681
92.0,eta_prime,eta_prime_like,2.5628571172285732,Kstar_892,kstar_like,4.148650456674584,1.585793339446011
93.0,deuteron,nucleus,3.3494733492631674,tau,lepton,6.530525662736932,3.1810523134737645
94.0,eta_prime,eta_prime_like,0.9755555458000007,phi,phi_like,4.196472141390075,3.220916595590074
95.0,tau,lepton,0.09777776799999761,delta_1232,delta_like,5.75057964816121,5.6528018801612125
96.0,tau,lepton,4.138181404363656,deuteron,nucleus,5.741817607636443,1.6036362032727869
97.0,eta_prime,eta_prime_like,0.10631578841052758,quark_s_const,quark_like,3.728070144371344,3.6217543559608165
98.0,quark_ud_const,quark_like,1.560869549608696,quark_s_const,quark_like,2.717391281702899,1.156521732094203
99.0,tau,lepton,0.09777776799999761,delta_1232,delta_like,5.981054685508603,5.8832769175086055
100.0,eta_prime,eta_prime_like,0.7903703624666665,phi,phi_like,4.1221966217863635,3.331826259319697
101.0,deuteron,nucleus,4.439999556000089,delta_1232,delta_like,7.292608616800996,2.8526090608009067
102.0,tau,lepton,5.457777232000016,delta_1232,delta_like,5.493937138307391,0.03615990630737542
103.0,deuteron,nucleus,4.1066662560000555,delta_1232,delta_like,7.256467312848498,3.1498010568484425
104.0,eta_prime,eta_prime_like,4.009743549646155,delta_1232,delta_like,5.122002915884036,1.1122593662378817
105.0,eta_prime,eta_prime_like,3.343076889646155,phi,phi_like,4.756647220314771,1.413570330668616
106.0,delta_1232,delta_like,3.0468759745501046,neutron,nucleon_like,5.554465084860923,2.5075891103108185
107.0,delta_1232,delta_like,9.593960129916411,eta_prime,eta_prime_like,10.264961137660467,0.6710010077440565
108.0,delta_1232,delta_like,3.629309422975919,eta_prime,eta_prime_like,4.53764701344706,0.9083375904711413
109.0,delta_1232,delta_like,3.9815243793046573,eta_prime,eta_prime_like,5.975555495800001,1.9940311164953437
110.0,eta_prime,eta_prime_like,2.800952352942858,phi,phi_like,4.325959961755751,1.5250076088128925
111.0,eta_prime,eta_prime_like,4.266153803492308,delta_1232,delta_like,4.29795981863748,0.031806015145171784
112.0,deuteron,nucleus,1.328888756000015,delta_1232,delta_like,6.955289779911039,5.626401023911024
113.0,eta_prime,eta_prime_like,2.4199999758,Kstar_892,kstar_like,4.399333110273316,1.979333134473316
114.0,eta_prime,eta_prime_like,0.4199999958000004,Kstar_892,kstar_like,4.097606477435021,3.6776064816350207
115.0,tau,lepton,1.2094116437646945,delta_1232,delta_like,5.60884904442594,4.399437400661245
116.0,delta_1232,delta_like,3.8508761113001473,neutron,nucleon_like,6.0117004419490385,2.1608243306488912
117.0,delta_1232,delta_like,3.959214932325351,eta_prime,eta_prime_like,5.419999945800001,1.4607850134746498
118.0,deuteron,nucleus,2.1941461220488088,delta_1232,delta_like,6.674492681362388,4.480346559313579
119.0,deuteron,nucleus,8.092173103826177,delta_1232,delta_like,9.15001880902418,1.0578457051980035
120.0,tau,lepton,3.2723806251428975,delta_1232,delta_like,6.094782542946875,2.822401917803978
121.0,eta_prime,eta_prime_like,3.6342856779428594,Kstar_892,kstar_like,4.480436321731732,0.8461506437888726
122.0,tau,lepton,1.2673682943158098,delta_1232,delta_like,5.877391240976983,4.610022946661173
123.0,eta_prime,eta_prime_like,4.537647013447058,delta_1232,delta_like,5.292685366986411,0.7550383535393523
124.0,tau,lepton,0.40727268654549853,delta_1232,delta_like,6.104389481106594,5.697116794561095
125.0,delta_1232,delta_like,7.6799999232000005,eta_prime,eta_prime_like,10.4199998958,2.7399999725999997
126.0,deuteron,nucleus,0.19510202130613963,delta_1232,delta_like,6.917024474064185,6.7219224527580455
127.0,delta_1232,delta_like,4.549030053960038,eta_prime,eta_prime_like,5.804615326569232,1.2555852726091938
128.0,tau,lepton,4.3466662320000315,delta_1232,delta_like,5.26869559546128,0.9220293634612489
