run_id,target_name,family,type,d_total,d_spacing,d_mass,enough_levels
28.0,neutron,nucleon_like,baryon,19.555192854560094,4.85241556687489,14.702777287685203,1
28.0,delta_1232,delta_like,baryon,12.2051526737646,4.971819521264597,7.233333152500003,1
28.0,quark_ud_const,quark_like,effective_quark,28.28155975158624,3.5815602455862363,24.699999506000005,1
28.0,quark_s_const,quark_like,effective_quark,24.666666210000006,3.666666629999998,20.999999580000008,1
29.0,pion,pion_like,meson,28.913532847805104,1.6532400931726803,27.260292754632424,1
29.0,rho,rho_like,meson,19.57625214928188,8.93246165440169,10.643790494880191,1
29.0,kaon,kaon_like,meson,18.95253639928204,6.195674079412739,12.7568623198693,1
29.0,phi,phi_like,meson,21.588234214705935,nan,21.588234214705935,1
29.0,proton,nucleon_like,baryon,12.413082017519352,12.413082017519352,nan,0
29.0,neutron,nucleon_like,baryon,12.413082017519352,12.413082017519352,nan,0
29.0,delta_1232,delta_like,baryon,23.542809885905122,14.50163364134629,9.04117624455883,1
29.0,quark_ud_const,quark_like,effective_quark,23.38710850629985,9.392991139123373,13.994117367176477,1
29.0,quark_s_const,quark_like,effective_quark,18.82352912058824,8.529411679411766,10.294117441176477,1
30.0,pion,pion_like,meson,26.537571444803298,4.4480564202467985,22.0895150245565,1
30.0,rho,rho_like,meson,14.850656888711896,14.850656888711896,nan,0
30.0,kaon,kaon_like,meson,24.703845975459302,9.680190562269322,15.023655413189982,1
30.0,phi,phi_like,meson,34.87096599838719,nan,34.87096599838719,1
30.0,proton,nucleon_like,baryon,23.481423779586542,23.481423779586542,nan,0
30.0,neutron,nucleon_like,baryon,23.481423779586542,23.481423779586542,nan,0
30.0,delta_1232,delta_like,baryon,0.0,nan,nan,0
30.0,quark_ud_const,quark_like,effective_quark,24.919079923858792,12.844886616955563,12.07419330690323,1
30.0,quark_s_const,quark_like,effective_quark,23.54838674354839,11.774193430645163,11.77419331290323,1
31.0,pion,pion_like,meson,0.0,nan,nan,0
31.0,rho,rho_like,meson,0.0,nan,nan,0
31.0,kaon,kaon_like,meson,0.0,nan,nan,0
31.0,phi,phi_like,meson,48.999997550000124,nan,48.999997550000124,1
31.0,proton,nucleon_like,baryon,0.0,nan,nan,0
31.0,neutron,nucleon_like,baryon,0.0,nan,nan,0
31.0,delta_1232,delta_like,baryon,0.0,nan,nan,0
31.0,quark_ud_const,quark_like,effective_quark,0.0,nan,nan,0
31.0,quark_s_const,quark_like,effective_quark,0.0,nan,nan,0
32.0,pion,pion_like,meson,36.92416951867807,9.461670891803006,27.462498626875067,1
32.0,rho,rho_like,meson,42.18518378295615,26.157406539437613,16.02777724351854,1
32.0,kaon,kaon_like,meson,19.553822545383504,7.662156275105711,11.891666270277792,1
32.0,phi,phi_like,meson,25.999998700000067,nan,25.999998700000067,1
32.0,proton,nucleon_like,baryon,25.99661698725571,25.99661698725571,nan,0
32.0,neutron,nucleon_like,baryon,25.99661698725571,25.99661698725571,nan,0
32.0,delta_1232,delta_like,baryon,34.836789552278674,19.25762327509116,15.579166277187511,1
32.0,quark_ud_const,quark_like,effective_quark,8.41010625536057,4.33510633686057,4.074999918500001,1
32.0,quark_s_const,quark_like,effective_quark,8.749999868750002,4.37499995625,4.374999912500002,1
33.0,pion,pion_like,meson,0.0,nan,nan,0
33.0,rho,rho_like,meson,0.0,nan,nan,0
33.0,kaon,kaon_like,meson,0.0,nan,nan,0
33.0,phi,phi_like,meson,48.999997550000124,nan,48.999997550000124,1
33.0,proton,nucleon_like,baryon,0.0,nan,nan,0
33.0,neutron,nucleon_like,baryon,0.0,nan,nan,0
33.0,delta_1232,delta_like,baryon,0.0,nan,nan,0
33.0,quark_ud_const,quark_like,effective_quark,0.0,nan,nan,0
33.0,quark_s_const,quark_like,effective_quark,0.0,nan,nan,0
34.0,pion,pion_like,meson,24.154589407746613,3.3114086317238307,20.84318077602278,1
34.0,rho,rho_like,meson,22.547137402687394,9.76430954595337,12.782827856734023,1
34.0,kaon,kaon_like,meson,21.087284707157544,8.263042710389849,12.824241996767693,1
34.0,phi,phi_like,meson,32.81818017727281,nan,32.81818017727281,1
34.0,proton,nucleon_like,baryon,23.588962617600295,10.710932743837647,12.878029873762646,1
34.0,neutron,nucleon_like,baryon,23.588962617600295,10.710932743837647,12.878029873762646,1
34.0,delta_1232,delta_like,baryon,16.60805843348365,6.041392030983637,10.566666402500012,1
34.0,quark_ud_const,quark_like,effective_quark,22.86827817972238,11.441005680995103,11.427272498727277,1
34.0,quark_s_const,quark_like,effective_quark,20.90909059545455,10.45454535,10.45454524545455,1
35.0,pion,pion_like,meson,46.153909844940934,7.128911796190827,39.024998048750106,1
35.0,rho,rho_like,meson,15.425925454252418,3.7037036227709197,11.722221831481498,1
35.0,kaon,kaon_like,meson,25.353722057243843,4.753722743910481,20.59999931333336,1
35.0,phi,phi_like,meson,15.66666588333338,nan,15.66666588333338,1
35.0,proton,nucleon_like,baryon,16.46949789345767,5.100053827994689,11.36944406546298,1
35.0,neutron,nucleon_like,baryon,16.46949789345767,5.100053827994689,11.36944406546298,1
35.0,delta_1232,delta_like,baryon,3.0888082960091667,0.8554750185091633,2.2333332775000034,1
35.0,quark_ud_const,quark_like,effective_quark,20.15390031975284,1.4539006937528305,18.699999626000007,1
35.0,quark_s_const,quark_like,effective_quark,16.666666350000007,1.666666650000001,14.999999700000007,1
36.0,pion,pion_like,meson,18.282822977264324,4.2578236785142956,14.02499929875003,1
36.0,rho,rho_like,meson,13.01851805850482,7.407407134430738,5.611110924074082,1
36.0,kaon,kaon_like,meson,5.107445446200115,1.1741122439778904,3.933333202222225,1
36.0,phi,phi_like,meson,17.66666578333338,nan,17.66666578333338,1
36.0,proton,nucleon_like,baryon,27.86847577255405,15.737920621350328,12.130555151203719,1
36.0,neutron,nucleon_like,baryon,27.86847577255405,15.737920621350328,12.130555151203719,1
