run_id,best_target,best_family,best_d_total
1930.0,quark_ud_const,quark_like,9.590779990197376
1931.0,delta_1232,delta_like,0.0
1932.0,proton,nucleon_like,9.491096901557198
1933.0,proton,nucleon_like,2.439565260153407
1934.0,delta_1232,delta_like,0.0
1935.0,pion,pion_like,0.0
1936.0,pion,pion_like,0.0
1937.0,delta_1232,delta_like,7.741921439115174
1938.0,pion,pion_like,0.0
1939.0,delta_1232,delta_like,2.851207655183683
1940.0,pion,pion_like,0.0
1941.0,phi,phi_like,0.9999999500000034
1942.0,pion,pion_like,0.0
1943.0,delta_1232,delta_like,6.446255892672353
1944.0,delta_1232,delta_like,0.0
1945.0,rho,rho_like,9.323671359456078
1946.0,proton,nucleon_like,2.8753603266132317
1947.0,pion,pion_like,0.0
1948.0,delta_1232,delta_like,3.301127139416912
1949.0,pion,pion_like,0.0
1950.0,delta_1232,delta_like,4.553899128651308
1951.0,kaon,kaon_like,5.10744544620012
1952.0,pion,pion_like,0.0
1953.0,delta_1232,delta_like,10.53144096077106
1954.0,delta_1232,delta_like,2.851207655183669
1955.0,delta_1232,delta_like,3.088808296009163
1956.0,delta_1232,delta_like,1.8633539950715643
1957.0,pion,pion_like,0.0
1958.0,delta_1232,delta_like,6.446255892672343
1959.0,proton,nucleon_like,0.01996007944192346
1960.0,delta_1232,delta_like,13.320960482426951
1961.0,kaon,kaon_like,5.10744544620012
1962.0,delta_1232,delta_like,6.3642090556309014
1963.0,phi,phi_like,0.9999999500000034
1964.0,proton,nucleon_like,3.666986925324477
1965.0,proton,nucleon_like,4.81844379617719
1966.0,phi,phi_like,0.9999999500000034
1967.0,pion,pion_like,0.0
1968.0,pion,pion_like,0.0
1969.0,delta_1232,delta_like,4.553899128651303
1970.0,delta_1232,delta_like,8.857729247777531
1971.0,phi,phi_like,0.9999999500000034
1972.0,delta_1232,delta_like,3.80434773993778
1973.0,delta_1232,delta_like,7.939508326826674
1974.0,delta_1232,delta_like,12.99278171517333
1975.0,delta_1232,delta_like,6.347161678287227
1976.0,delta_1232,delta_like,3.301127139416907
1977.0,delta_1232,delta_like,6.3471616782872315
1978.0,rho,rho_like,0.12345678829446527
1979.0,delta_1232,delta_like,2.851207655183676
1980.0,delta_1232,delta_like,0.7850241368125561
1981.0,delta_1232,delta_like,3.80434773993778
1982.0,pion,pion_like,0.0
1983.0,pion,pion_like,0.0
1984.0,delta_1232,delta_like,6.5914156812841265
1985.0,pion,pion_like,0.0
1986.0,delta_1232,delta_like,0.0
1987.0,phi,phi_like,0.9999999500000034
1988.0,proton,nucleon_like,4.818443796177198
1989.0,delta_1232,delta_like,0.0
1990.0,proton,nucleon_like,0.01996007944191903
1991.0,pion,pion_like,0.0
1992.0,delta_1232,delta_like,2.8512076551836754
1993.0,phi,phi_like,0.9999999500000034
1994.0,delta_1232,delta_like,6.52173898275047
1995.0,delta_1232,delta_like,2.851207655183669
1996.0,delta_1232,delta_like,6.715838357237094
1997.0,pion,pion_like,0.0
1998.0,delta_1232,delta_like,6.364209055630896
1999.0,pion,pion_like,0.0
